idx	status	source_file	line_no	variant	core_sha256_bits	red_K5	blue_K5	red_K4_count	blue_K4_count	phi0_exists	phi0_timeout	phi0_nodes	phi0_elapsed_s	phi1_exists	phi1_timeout	phi1_nodes	phi1_elapsed_s	phi2_exists	phi2_timeout	phi2_nodes	phi2_elapsed_s	phi2_red_phi	phi2_blue_phi	phi2_degree	status_detail
258	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	129	complement	d0b3bfd0bc15d1c4c496ad29773256e6094fedc9064a14e90ff23ce82c8f26fb	0	0	1155	1150	False	False	83	0.376	False	False	461	1.894	False	False	1319	5.271				phi 0,1,2 excluded
259	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	130	source	c0f6de7c94e11fcaa1216eae59754c91ffee8d20147dadf6e011fb00392c090b	0	0	1163	1147	False	False	89	0.404	False	False	441	1.845	False	False	1297	5.213				phi 0,1,2 excluded
260	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	130	complement	20d397dc9dfa277e12845d1f80e5b17d455e95c19934cec02e95d587542fbd3e	0	0	1147	1163	False	False	89	0.41	False	False	441	1.838	False	False	1297	5.21				phi 0,1,2 excluded
261	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	131	source	6c62f954e92662d865ec225eed26e61526cf4874b97a4eec52a8ba285f3449d5	0	0	1137	1168	False	False	97	0.446	False	False	515	2.125	False	False	1471	5.863				phi 0,1,2 excluded
262	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	131	complement	ad02bde033be83925fb6a3d683e4ce9ded1966c191aa9a092daa7ac056487930	0	0	1168	1137	False	False	97	0.443	False	False	515	2.14	False	False	1471	5.876				phi 0,1,2 excluded
263	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	132	source	35e0debcd368b0d7ea03f45f63bb43327254e24a376d0efb39ee84cf17ebbd53	0	0	1150	1157	False	False	83	0.385	False	False	441	1.855	False	False	1277	5.228				phi 0,1,2 excluded
264	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	132	complement	88031717a848ba512bca10bbcbe7d55d9940fddc0db11907d2da38cd33a9f0fa	0	0	1157	1150	False	False	83	0.383	False	False	441	1.84	False	False	1277	5.156				phi 0,1,2 excluded
265	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	133	source	6cac00ffd6cb8e8b0185340434bccb1281f0953e976d414f6dd4290ba0db2544	0	0	1158	1140	False	False	77	0.36	False	False	421	1.736	False	False	1165	4.727				phi 0,1,2 excluded
266	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	133	complement	b85047d1ea165bb113137385d415dbbbee46758142b6325dc6a68d27f9cd8bf6	0	0	1140	1158	False	False	77	0.348	False	False	421	1.741	False	False	1165	4.703				phi 0,1,2 excluded
267	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	134	source	4802d9aa66bc009ae5ab18b6fe6073354a676b4534b0601dd2f311e1f5597247	0	0	1199	1107	False	False	67	0.313	False	False	347	1.49	False	False	1125	4.605				phi 0,1,2 excluded
